№,Title,Link,Desc,Img
#,title,link,desc,img
1,"В Кара-Суу задержали мужчину, распространявшего материалы террористической организации",https://kaktus.media/doc/495578_v_kara_syy_zaderjali_myjchiny_rasprostraniavshego_materialy_terroristicheskoy_organizacii.html,23:03,https://data.kaktus.media/image/small/2024-02-11_22-55-01_347769.jpg
2,В итальянском ресторане в Оше вспыхнул крупный пожар (видео),https://kaktus.media/doc/495577_v_italianskom_restorane_v_oshe_vspyhnyl_krypnyy_pojar_video.html,22:23,https://data.kaktus.media/image/small/2024-02-11_22-21-44_333996.jpg
3,"Тилекмат Куренов заявил, что на него совершили покушение в США",https://kaktus.media/doc/495576_tilekmat_kyrenov_zaiavil_chto_na_nego_sovershili_pokyshenie_v_ssha.html,21:45,https://data.kaktus.media/image/small/2024-02-11_21-33-34_966882.jpg
4,"Прогноз погоды в Бишкеке на  неделю, с 12 февраля",https://kaktus.media/doc/495436_prognoz_pogody_v_bishkeke_na_nedelu_s_12_fevralia.html,19:43,https://data.kaktus.media/image/small/2024-02-11_19-43-04_521082.jpg
5,Женская национальная сборная Кыргызстана по футзалу завоевала бронзу чемпионата CAFA,https://kaktus.media/doc/495575_jenskaia_nacionalnaia_sbornaia_kyrgyzstana_po_fytzaly_zavoevala_bronzy_chempionata_cafa.html,19:31,https://data.kaktus.media/image/small/2024-02-11_19-27-23_902345.jpg
6,"В России могут усложнить ввоз электромобилей, растаможенных в Кыргызстане",https://kaktus.media/doc/495574_v_rossii_mogyt_yslojnit_vvoz_elektromobiley_rastamojennyh_v_kyrgyzstane.html,19:21,https://data.kaktus.media/image/small/2024-02-11_19-13-49_431036.jpg
7,Суд отпустил журналиста Эрмека Аттокурова под домашний арест,https://kaktus.media/doc/495570_syd_otpystil_jyrnalista_ermeka_attokyrova_pod_domashniy_arest.html,19:03,https://data.kaktus.media/image/small/2024-02-11_19-32-17_561780.jpg
8,Сколько сэкономили горожане за счет безналичной оплаты в общественном транспорте?,https://kaktus.media/doc/495573_skolko_sekonomili_gorojane_za_schet_beznalichnoy_oplaty_v_obshestvennom_transporte.html,16:24,https://data.kaktus.media/image/small/2024-02-11_16-20-45_744993.jpg
9,На Солнце произошла одна из сильнейших вспышек за последние пять лет,https://kaktus.media/doc/495572_na_solnce_proizoshla_odna_iz_silneyshih_vspyshek_za_poslednie_piat_let.html,15:51,https://data.kaktus.media/image/small/2024-02-11_15-48-30_781034.jpg
10,Россияне массово уезжают из Турции,https://kaktus.media/doc/495571_rossiiane_massovo_yezjaut_iz_tyrcii.html,15:43,https://data.kaktus.media/image/small/2024-02-11_15-42-01_782547.jpg
11,Стоявшее около 30 лет заброшенным здание на территории больницы достроят. Что там будет?,https://kaktus.media/doc/495569_stoiavshee_okolo_30_let_zabroshennym_zdanie_na_territorii_bolnicy_dostroiat._chto_tam_bydet.html,14:56,https://data.kaktus.media/image/small/2024-02-11_14-41-39_373478.jpg
12,"Авария на ТЭЦ. Пострадавший рассказал, что работал на двух работах, чтобы прокормить семью",https://kaktus.media/doc/495568_avariia_na_tec._postradavshiy_rasskazal_chto_rabotal_na_dvyh_rabotah_chtoby_prokormit_semu.html,14:50,https://data.kaktus.media/image/small/2024-02-11_14-48-06_138277.jpg
13,В джальской детской больнице планируют открыть отделение трансплантации костного мозга,https://kaktus.media/doc/495566_v_djalskoy_detskoy_bolnice_planiryut_otkryt_otdelenie_transplantacii_kostnogo_mozga.html,14:43,https://data.kaktus.media/image/small/2024-02-11_14-10-47_159218.jpg
14,"Трамп рассказал, как угрожал странам НАТО, которые недостаточно платят",https://kaktus.media/doc/495565_tramp_rasskazal_kak_ygrojal_stranam_nato_kotorye_nedostatochno_platiat.html,14:01,https://data.kaktus.media/image/small/2024-02-11_13-59-08_345058.jpg
15,Авария на ТЭЦ. Акылбек Жапаров посетил в турецкой больнице пострадавших,https://kaktus.media/doc/495564_avariia_na_tec._akylbek_japarov_posetil_v_tyreckoy_bolnice_postradavshih.html,13:50,https://data.kaktus.media/image/small/2024-02-11_13-47-39_287290.jpg
16,"Что произошло в Украине за последние сутки, 11 февраля",https://kaktus.media/doc/495563_chto_proizoshlo_v_ykraine_za_poslednie_sytki_11_fevralia.html,13:32,https://data.kaktus.media/image/small/2024-02-11_13-27-52_680145.jpg
17,Президент Венгрии объявила об отставке на фоне скандала с укрывательством педофилов,https://kaktus.media/doc/495562_prezident_vengrii_obiavila_ob_otstavke_na_fone_skandala_s_ykryvatelstvom_pedofilov.html,12:51,https://data.kaktus.media/image/small/2024-02-11_12-44-53_856870.jpg
18,На кыргызско-китайской границе вновь произошло землетрясение,https://kaktus.media/doc/495561_na_kyrgyzsko_kitayskoy_granice_vnov_proizoshlo_zemletriasenie.html,11:15,https://data.kaktus.media/image/small/2024-02-11_11-10-11_336869.jpg
19,У волков из чернобыльской зоны развилась невосприимчивость к раку,https://kaktus.media/doc/495557_y_volkov_iz_chernobylskoy_zony_razvilas_nevospriimchivost_k_raky.html,11:10,https://data.kaktus.media/image/small/2024-02-11_03-29-25_100159.jpg
20,"Мужчина потратил восемь лет, чтобы побить рекорд, но ему отказали из-за формы спичек",https://kaktus.media/doc/495559_myjchina_potratil_vosem_let_chtoby_pobit_rekord_no_emy_otkazali_iz_za_formy_spichek.html,10:57,https://data.kaktus.media/image/small/2024-02-11_03-41-09_722966.jpg
21,В Ананьево обнаружили раненого филина,https://kaktus.media/doc/495539_v_ananevo_obnaryjili_ranenogo_filina.html,10:47,https://data.kaktus.media/image/small/2024-02-11_02-47-39_841495.jpg
22,"Мужчина систематически избивал жену, несмотря на охранный ордер",https://kaktus.media/doc/495556_myjchina_sistematicheski_izbival_jeny_nesmotria_na_ohrannyy_order.html,10:38,https://data.kaktus.media/image/small/2024-02-11_02-30-43_387673.jpg
23,В Австралии хотят разрешить игнорировать звонки начальника в нерабочее время,https://kaktus.media/doc/495553_v_avstralii_hotiat_razreshit_ignorirovat_zvonki_nachalnika_v_nerabochee_vremia.html,10:32,https://data.kaktus.media/image/small/2024-02-11_03-20-00_777566.jpg
24,Карманные кражи на рынке в Джалал-Абаде. Подозреваемого задержали в Бишкеке,https://kaktus.media/doc/495549_karmannye_kraji_na_rynke_v_djalal_abade._podozrevaemogo_zaderjali_v_bishkeke.html,10:26,https://data.kaktus.media/image/small/2024-02-11_03-00-27_249212.jpg
25,В Туркменистане граждан обязывают включать на свадьбах песни Гурбангулы Бердымухамедова,https://kaktus.media/doc/495560_v_tyrkmenistane_grajdan_obiazyvaut_vkluchat_na_svadbah_pesni_gyrbangyly_berdymyhamedova.html,10:17,https://data.kaktus.media/image/small/2024-02-11_03-48-42_840035.jpg
26,Сборная Катара второй раз подряд выиграла Кубок Азии,https://kaktus.media/doc/495558_sbornaia_katara_vtoroy_raz_podriad_vyigrala_kybok_azii.html,10:01,https://data.kaktus.media/image/small/2024-02-11_03-34-43_847560.jpg
