№,name,price,img,tip
1,"
KIA Sorento, 2022
",$ 43000,https://auto312.kg//components/com_djclassifieds/images/item/8/8284_img-20240214-wa0143_ths.jpg,"
Тип топлива: БензинКоробка передач: АКПП "
2,"
KIA Optima, 2019
",$ 15000,https://auto312.kg//components/com_djclassifieds/images/item/8/8283_img-20240214-wa0129_ths.jpg,"
Тип топлива: БензинКоробка передач: АКПП "
3,"
Lexus RX, 2006
",$ 14900,https://auto312.kg//components/com_djclassifieds/images/item/8/8282_img_20240214_212723358_ths.jpeg,"
Тип топлива: ГибридКоробка передач: АКПП "
4,"
Hyundai Genesis, 2018
",$ 32000,https://auto312.kg//components/com_djclassifieds/images/item/8/8281_img_2608_ths.jpg,"
Тип топлива: БензинКоробка передач: АКПП "
5,"
Hyundai Grandeur, 2017
",$ 17500,https://auto312.kg//components/com_djclassifieds/images/item/8/8280_img_20240214_173753_ths.jpg,"
Тип топлива: БензинКоробка передач: АКПП "
6,"
Subaru Legacy, 2002
",$ 6500,https://auto312.kg//components/com_djclassifieds/images/item/8/8277_img_20240214_142510_ths.jpg,"
Тип топлива: БензинКоробка передач: АКПП "
7,"
Toyota Camry, 2012
",$ 14900,https://auto312.kg//components/com_djclassifieds/images/item/8/8275_img_20240214_130620_ths.jpg,"
Тип топлива: БензинКоробка передач: АКПП "
8,"
Toyota Ist, 2003
",$ 6200,https://auto312.kg//components/com_djclassifieds/images/item/8/8274_img_20240214_112047_ths.jpg,"
Тип топлива: БензинКоробка передач: АКПП "
9,"
KIA MORNING, 2017
",$ 9600,https://auto312.kg//components/com_djclassifieds/images/item/8/8273_img-20240214-wa0014_ths.jpg,"
Тип топлива: БензинКоробка передач: АКПП "
10,"
Lexus LX, 2023
",$ 198000,https://auto312.kg//components/com_djclassifieds/images/item/8/8272_img-20240213-wa0041_ths.jpg,"
Тип топлива: БензинКоробка передач: АКПП "
11,"
KIA RIO, 2020
",$ 15000,https://auto312.kg//components/com_djclassifieds/images/item/8/8271_img_20240213_105602641_ths.jpeg,"
Тип топлива: БензинКоробка передач: АКПП "
12,"
Lexus RX, 2015
",$ 32000,https://auto312.kg//components/com_djclassifieds/images/item/8/8270_img_20240212_153400_ths.jpg,"
Тип топлива: БензинКоробка передач: АКПП "
13,"
Toyota Prius, 2015
",$ 13000,https://auto312.kg//components/com_djclassifieds/images/item/8/8269_img_20240212_170407105_ths.jpeg,"
Тип топлива: ГибридКоробка передач: АКПП "
14,"
Hyundai Solaris, 2014
",Сом 510000,https://auto312.kg//components/com_djclassifieds/images/item/8/8268_img_20240212_160204008_ths.jpeg,"
Тип топлива: БензинКоробка передач: МКПП "
15,"
Mitsubishi Outlander, 2007
",$ 15500,https://auto312.kg//components/com_djclassifieds/images/item/8/8267_3b19_ths.jpg,"
Тип топлива: Газ-БензинКоробка передач: АКПППробег ( км ): 130000 "
16,"
KIA K5, 2011
",$ 11800,https://auto312.kg//components/com_djclassifieds/images/item/8/8266_img_20240212_124708615_ths.jpeg,"
Коробка передач: АКПП "
17,"
Mazda Demio, 2003
",$ 5000,https://auto312.kg//components/com_djclassifieds/images/item/8/8265_whatsapp_image_2024-02-12_at_08.28.45_ths.jpeg,"
Тип топлива: БензинКоробка передач: АКПП "
18,"
KIA Sportage, 2018
",$ 22500,https://auto312.kg//components/com_djclassifieds/images/item/8/8264_img-20240211-wa0074_ths.jpg,"
Тип топлива: ДизельКоробка передач: АКПП "
19,"
KIA Sportage, 2023
",$ 33500,https://auto312.kg//components/com_djclassifieds/images/item/8/8263_img_20240211_220548017_ths.jpeg,"
Тип топлива: БензинКоробка передач: АКПП "
20,"
BMW Series 7, 2021
",$ 95000,https://auto312.kg//components/com_djclassifieds/images/item/8/8262_img_20240211_164641394_ths.jpeg,"
Тип топлива: ГибридКоробка передач: АКПППробег ( км ): 41000 "
